Filepath1, Filename1, Startline1, Endline1, Type1, Filepath2, Filename2, Startline2, Endline2, Type2, Clonetype, Similarity
tallKit.java,34119.java,1081,1089,default,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.8214285714285714
tallKit.java,34119.java,1081,1089,default,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/edocs/controller/documentFilesStates/UploadFilesState.java,322320.java,81,89,selected,3,0.8214285714285714
tallKit.java,34119.java,1081,1089,default,/trunk/gb-disk/src/main/fi/hip/gb/disk/transport/LocalTransport.java,341629.java,51,59,selected,3,0.8068181818181819
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/trunk/src/decodepcode/svn/MergePeopleCodeTrees.java,1364523.java,99,108,selected,3,0.8604651162790697
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/JPLCommons/trunk/src/org/expasy/jpl/commons/base/io/JPLFile.java,24364.java,105,112,selected,3,0.7951807228915663
/java/src/com/adidas/micoach/agent/utils/Utils.java,2300570.java,308,317,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.8200000000000001
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/trunk/ServEngine/src/main/java/com/servengine/image/ThumbnailUtils.java,1371986.java,196,204,selected,3,0.8571428571428572
/src/edu/unm/casaa/main/MainController.java,1483889.java,894,902,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.896551724137931
tallKit.java,63589.java,1081,1089,default,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.8214285714285714
/siberhus-commons/src/main/java/com/siberhus/commons/zip/ZipUtil.java,1172615.java,123,131,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.9213483146067416
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/trunk/libraries/libGDBMS/src/test/java/com/hardcode/gdbms/engine/data/TestUtilities.java,2117277.java,88,95,selected,3,0.7951807228915663
