Filepath1, Filename1, Startline1, Endline1, Type1, Filepath2, Filename2, Startline2, Endline2, Type2, Clonetype, Similarity
/netflix/trunk/java/cofiltering/org/smartgrape/cofiltering/SGPearsonWeightedSlopeOneRecommender.java,964081.java,120,228,selected,/netflix/trunk/java/cofiltering/org/smartgrape/cofiltering/SGSlopeOneRecommender.java,2021068.java,304,410,selected,3,0.9762150982419855
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/edocs/util/link/DocsFacade.java,2309268.java,35,43,selected,3,0.9880952380952381
/trunk/core/workflow-base/src/main/java/net/sourceforge/ondex/workflow/engine/Engine.java,2077739.java,747,755,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.9764705882352941
/jflux/endrov/util/EvFileUtil.java,836722.java,118,126,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.9764705882352941
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/branches/Aug09/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/base/WrappedEngine.java,2455851.java,855,863,selected,3,0.9764705882352941
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/edocs/controller/documentStates/CheckIn.java,2300478.java,60,68,selected,3,0.9880952380952381
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/branches/Aug09/backend2/core/src/main/java/net/sourceforge/ondex/workflow2_old/WrappedEngine.java,499481.java,849,857,selected,3,0.9764705882352941
/trunk/maven-plugin-pmd-build/src/main/java/net/sourceforge/pmd/build/util/FileUtil.java,1823751.java,50,58,selected,/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,3,0.9764705882352941
/trunk/ProjectViaNet/WEB-INF/src/si/cit/eprojekti/enews/controller/newsFilesStates/UploadFilesState.java,1815674.java,81,89,selected,/branches/0.5/backend2/core/src/net/sourceforge/ondex/xten/workflow/WrappedEngine.java,591946.java,827,835,selected,3,0.9764705882352941
/org.designerator.explorer/src/org/designerator/explorer/util/ExplorerUtil.java,855185.java,104,142,selected,/MWLL Actionmapper v0.3 - dev/MWLL Actionmapper v0.3/src/mwllactionmapper/model/FileCopy.java,440442.java,27,64,selected,3,0.9475218658892128
/MWLL Actionmapper v0.3 - dev/MWLL Actionmapper v0.3/src/mwllactionmapper/model/FileCopy.java,440442.java,27,64,selected,/org.designerator.media/src/org/designerator/media/util/ExplorerUtil.java,1367404.java,123,161,selected,3,0.9475218658892128
/converge-server/modules/converge-ejb/src/main/java/dk/i2m/converge/ejb/facades/CatalogueFacadeBean.java,871757.java,711,729,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.991304347826087
/java/aa-ranking/src/ScheduledRanking.java,93742.java,55,74,default,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.9262295081967213
/servers/jain-slee/core/common/src/main/java/org/mobicents/slee/container/deployment/jboss/DeploymentManagerMBeanImpl.java,1574719.java,145,163,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.9826086956521739
/src/org/openoffice/gdocs/util/Downloader.java,1435050.java,199,217,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.9826086956521739
/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,/plugins/SectionEditor/src/org/bungeni/editor/section/refactor/xml/OdfPackageBackup.java,1524798.java,43,61,selected,3,0.991304347826087
/ softwaresmith --username JSam84/src/us/ExcellentIngenuity/Software_Smith/File_Copy.java,668466.java,50,68,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.9478260869565217
/trunk/src/work/utilities/GeometrySeparator.java,1819337.java,144,162,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.991304347826087
/src/org/opengpx/FileSystemIntegration.java,1791697.java,70,88,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.9826086956521739
/trunk/src/work/utilities/GeometrySelector.java,388654.java,111,129,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,3,0.991304347826087
/src/trb/trials4k/Compressor.java,734475.java,104,117,selected,/src/trb/trials4k/Compressor2.java,1049521.java,90,104,selected,3,0.9428571428571428
/jotex/src/com/adobe/dp/epub/util/Base64.java,1494993.java,837,863,selected,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/cryptographicservice/internal/commons/Base64.java,2510322.java,790,816,selected,3,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/cryptographicservice/internal/commons/Base64.java,2510322.java,790,816,selected,/src/main/java/org/owasp/esapi/codecs/Base64.java,925397.java,890,916,selected,3,0.965
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/cryptographicservice/internal/commons/Base64.java,2510322.java,790,816,selected,/src/main/java/org/owasp/esapi/codecs/Base64.java,925397.java,854,880,selected,3,0.965
/jotex/src/com/adobe/dp/epub/util/Base64.java,1494993.java,873,899,selected,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/cryptographicservice/internal/commons/Base64.java,2510322.java,790,816,selected,3,1.0
/org.acoveo.tools/src/org/acoveo/tools/Filesystem.java,2037747.java,98,104,selected,/tags/t200711251421/paccman-tools/src/org/paccman/tools/FileUtils.java,582021.java,48,54,selected,3,1.0
/trunk/src/MediSnap/src/medisnap/gui/ImportFileThread.java,1637296.java,142,154,selected,/trunk/vademecum/plugins/core/src/vademecum/ui/dialogs/PluginManagerDialog.java,153582.java,256,268,selected,3,0.9655172413793104
/de/moonflower/jfritz/autoupdate/UpdateUtils.java,1070134.java,72,105,selected,/src/helper/IOUtils.java,2560469.java,17,50,selected,3,0.9444444444444444
/de/moonflower/jfritz/autoupdate/UpdateUtils.java,1070134.java,72,105,selected,/source_code/files/old gui/MyUtils.java,1370199.java,22,55,selected,3,0.9888888888888889
o/estimate/FileCopy.java,123372.java,25,67,default,/branches/newcommer/2010_10_Pasha/src/File/FileCopy.java,2237913.java,17,59,selected,3,0.9850746268656716
eCopy.java,110358.java,14,58,default,o/estimate/FileCopy.java,123372.java,25,67,default,3,0.9754299754299754
/jotex/src/com/adobe/dp/epub/util/Base64.java,1494993.java,837,863,selected,/lightattachment/src/com/lightattachment/mails/Base64.java,59218.java,732,758,selected,3,1.0
