Filepath1, Filename1, Startline1, Endline1, Type1, Filepath2, Filename2, Startline2, Endline2, Type2, Clonetype, Similarity
/trunk/core/workflow-base/src/main/java/net/sourceforge/ondex/workflow/engine/Engine.java,2077739.java,747,755,selected,/tags/prior-to-modularising/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/WrappedEngine.java,77754.java,849,857,selected,1,1.0
/tags/prior-to-modularising/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/WrappedEngine.java,77754.java,849,857,selected,/branches/Aug09/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/base/WrappedEngine.java,2455851.java,855,863,selected,1,1.0
/tags/prior-to-modularising/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/WrappedEngine.java,77754.java,849,857,selected,/branches/Aug09/backend2/core/src/main/java/net/sourceforge/ondex/workflow2_old/WrappedEngine.java,499481.java,849,857,selected,1,1.0
/tags/prior-to-modularising/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/WrappedEngine.java,77754.java,849,857,selected,/branches/0.5/backend2/core/src/net/sourceforge/ondex/xten/workflow/WrappedEngine.java,591946.java,827,835,selected,1,1.0
/trunk/javaconsole/osmius/web/src/main/java/org/osmius/webapp/action/UploadEditionController.java,406522.java,127,133,selected,/trunk/javaconsole/osmius/web/src/main/java/org/osmius/webapp/action/UploadUpdateEditionController.java,1107815.java,166,172,selected,1,1.0
/trunk/javaconsole/osmius/core/src/main/java/org/osmius/service/impl/OsmAgentManagerImpl.java,217680.java,219,225,selected,/trunk/javaconsole/osmius/web/src/main/java/org/osmius/webapp/action/UploadUpdateEditionController.java,1107815.java,166,172,selected,1,1.0
/trunk/javaconsole/osmius/core/src/main/java/org/osmius/service/impl/OsmInterfaceManagerImpl.java,1005846.java,194,200,selected,/trunk/javaconsole/osmius/web/src/main/java/org/osmius/webapp/action/UploadUpdateEditionController.java,1107815.java,166,172,selected,1,1.0
/dcm4che14/tags/DCM4CHE_1_4_7/samples/java/PixelDataTest.java,44695.java,27,46,default,/dcm4che14/tags/DCM4CHE_1_3_22/samples/java/PixelDataTest.java,133428.java,27,46,default,1,1.0
/dcm4che14/tags/DCM4CHE_1_1_3/samples/java/PixelDataTest.java,56674.java,27,46,default,/dcm4che14/tags/DCM4CHE_1_4_7/samples/java/PixelDataTest.java,44695.java,27,46,default,1,1.0
/dcm4che14/tags/DCM4CHE_1_4_9/samples/java/PixelDataTest.java,53920.java,27,46,default,/dcm4che14/tags/DCM4CHE_1_4_7/samples/java/PixelDataTest.java,44695.java,27,46,default,1,1.0
