Filepath1, Filename1, Startline1, Endline1, Type1, Filepath2, Filename2, Startline2, Endline2, Type2, Clonetype, Similarity
/branches/version-2-exp-1/trunk/src/test/java/com/ericdaugherty/mail/TestExecutor0File.java,527613.java,28,71,selected,null,CopyFileSamples.java,42,53,sample,3,0.23101266
/org.dengues.commons/src/main/java/org/dengues/commons/jdk/CustomClassLoader.java,1035502.java,107,120,selected,null,CopyFileSamples.java,71,79,sample,3,0.5294118
/trunk/lassi-testcases/src/be/lassi/ui/sheet/SheetTableModelDetailsTestCase.java,785509.java,52,76,selected,null,CopyFileSamples.java,63,69,sample,3,0.20408164
/src/com/todo/core/ToDo.java,1100848.java,1504,1523,selected,null,CopyFileSamples.java,63,69,sample,3,0.2857143
/util-persist/src/main/java/ao/util/persist/Mmap.java,1148103.java,30,47,selected,null,CopyFileSamples.java,71,79,sample,3,0.47115386
/trunk/src/f00f/net/irc/martyr/services/AutoJoin.java,2335632.java,48,68,selected,null,CopyFileSamples.java,42,53,sample,3,0.3809524
/XAware/Branches/5.0.0/src/org/xaware/server/engine/instruction/bizcomps/http/HttpConfigTranslator.java,2364822.java,263,276,selected,null,CopyFileSamples.java,38,40,sample,3,0.17557251
/trunk/jnmf-localization/src/com/greentea/relaxation/jnmf/localization/StringsBundle_en.java,136712.java,11,14,selected,null,CopyFileSamples.java,71,79,sample,3,0.012747875
/tags/lassi-0.5/lassi/src/be/lassi/domain/PreHeating.java,814008.java,64,66,selected,null,CopyFileSamples.java,71,79,sample,3,0.16666667
/org/lnicholls/galleon/togo/Rule.java,1589573.java,127,206,selected,null,CopyFileSamples.java,63,69,sample,3,0.024524525
/hlj-svn-source/cms/jeecms/src/com/jeecms/cms/entity/main/Channel.java,2562186.java,513,520,selected,null,CopyFileSamples.java,38,40,sample,3,0.45714286
/org.jactr.eclipse.remote.client/trunk/org.jactr.eclipse.remote.client/src/org/jactr/eclipse/remote/client/service/ServiceConnection.java,1653205.java,81,100,selected,null,CopyFileSamples.java,18,36,sample,3,0.41284403
/src/bman/tools/net/SocketSession.java,1406037.java,209,211,selected,null,CopyFileSamples.java,38,40,sample,3,0.41666666
/branches/refactor/src/org/jsynthlib/synthdrivers/AlesisA6/AlesisA6MixBankDriver.java,1983073.java,96,98,selected,null,CopyFileSamples.java,38,40,sample,3,0.36842105
