Filepath1, Filename1, Startline1, Endline1, Type1, Filepath2, Filename2, Startline2, Endline2, Type2, Clonetype, Similarity
/add-on/trunk/tools/CompressLesson.java,166275.java,159,171,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/trunk/MyWork-p2pim/src/net/sf/p2pim/P2PActivator.java,1434515.java,77,89,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,/trunk/vademecum/plugins/core/src/vademecum/ui/dialogs/PluginManagerDialog.java,153582.java,256,268,selected,2,1.0
/trunk/internal/jshm/internal/patcher/JarLoader.java,2688879.java,37,49,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,/trunk/ISPyB/ISPyB4/server/src/ispyb/server/webservice/WebService/SessionExporter.java,2211044.java,280,292,selected,2,1.0
/EddTools/src/no/uio/edd/utils/fileutils/FileUtils.java,1262585.java,54,66,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/VragenController.java,1752530.java,128,140,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/WoordController.java,1632727.java,129,141,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/trunk/tools/org.vexi.widgetdoc/src/org/vexi/widgetdoc/util/Util.java,567178.java,45,57,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,/trunk/MPOWER-Communicator/soap/call/client/src/main/java/at/arcsmed/mpower/communicator/soap/call/client/CallClient.java,215042.java,58,70,selected,2,1.0
/EasyWay/src/org/easyway/tiles/generic/OptimizedSaver.java,2082.java,64,76,selected,/trunk/src/nyagua/Util.java,2558574.java,570,582,selected,2,1.0
/jflux/endrov/util/EvFileUtil.java,836722.java,118,126,selected,/tags/prior-to-modularising/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/WrappedEngine.java,77754.java,849,857,selected,2,1.0
/trunk/maven-plugin-pmd-build/src/main/java/net/sourceforge/pmd/build/util/FileUtil.java,1823751.java,50,58,selected,/tags/prior-to-modularising/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/WrappedEngine.java,77754.java,849,857,selected,2,1.0
/pride-converter/src/main/java/uk/ac/ebi/pride/tools/converter/gui/util/IOUtilities.java,1676100.java,297,315,selected,/civic-engine/src/utils/SimpleFile.java,1113498.java,86,104,selected,2,1.0
/pride-converter/src/main/java/uk/ac/ebi/pride/tools/converter/gui/util/IOUtilities.java,1676100.java,297,315,selected,/trunk/src/aaronr/utils/FileUtils.java,1068957.java,11,29,selected,2,1.0
/pride-converter/src/main/java/uk/ac/ebi/pride/tools/converter/gui/util/IOUtilities.java,1676100.java,297,315,selected,/CredentialAuthor/src/org/rt/util/FileUtil.java,572754.java,19,37,selected,2,1.0
/JackySong-Core/src/jacky/lanlan/song/io/FileUtils.java,861615.java,507,528,selected,/tags/v20080609_before_UML_preferences/org.apache.commons.io/src/java/org/apache/commons/io/FileUtils.java,880474.java,604,625,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/core/workflow-base/src/main/java/net/sourceforge/ondex/workflow/engine/Base64.java,375037.java,851,877,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/code/MAS/src/mas/common/Base64.java,2429982.java,836,862,selected,2,1.0
/trunk/Base64.java,122954.java,836,862,default,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/java/src/net/sf/pamvi/sso/Base64.java,753625.java,754,780,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/lightattachment/src/com/lightattachment/mails/Base64.java,59218.java,732,758,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,754,780,selected,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/com.sametime.twitterclient/src/com/sametime/twitterclient/twitterapi/Base64.java,1607771.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/ourproject/trunk/src/main/java/it/unibo/deis/uniboEnv_p2p/application/utils/Base64.java,1931054.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/Tradubi/src/es/ua/dlsi/tradubi/main/server/util/Base64.java,2626904.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/tags/prior-to-modularising/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/support/Base64.java,110490.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/Cydonia/src/iharder/net/base64/Base64.java,1966020.java,858,884,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/mrstk/src/FileFormats/Base64.java,1098324.java,815,841,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/eu.more.components/eu.more.keydistributionservice/tags/1.0.0/src/eu/more/keydistributionservice/commons/Base64.java,264272.java,754,780,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/src/net/sf/mailand/smtp/server/Base64.java,2599719.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/ontopia-engine/src/main/java/net/ontopia/net/Base64.java,1882693.java,837,863,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/source/java/writer2latex/util/Base64.java,1560483.java,754,780,selected,2,1.0
/trunk/src/com/sesca/misc/Base64.java,1511595.java,834,860,selected,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/Base64.java,77069.java,836,862,default,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/com/nimium/Base64.java,2554952.java,838,864,selected,2,1.0
/trunk/Base64.java,85394.java,836,862,default,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/peakml/src/peakml/util/Base64.java,209298.java,804,830,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/fun/lib/src/net/sf/iharder/Base64.java,1561076.java,908,934,selected,2,1.0
/branches/Aug09/backend2/core/src/main/java/net/sourceforge/ondex/workflow2_old/support/Base64.java,597475.java,838,864,selected,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/src/java/librairie/Base64.java,1103041.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/src/ssmith/io/Base64.java,1139080.java,845,871,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/src/main/java/net/iharder/base64/Base64.java,2481579.java,857,883,selected,2,1.0
/src/SQLToLDIF/src/Base64.java,126904.java,836,862,default,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/restclient-lib/src/main/java/org/wiztools/restclient/Base64.java,364540.java,835,861,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/branches/Aug09/backend2/core/src/main/java/net/sourceforge/ondex/workflow2/base/Base64.java,964253.java,838,864,selected,2,1.0
/base64/Special_Licensing/Base64-2.2.2-BSD.java,16883.java,853,879,default,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/src_branch/com.ivis.xprocess.core/src/com/ivis/xprocess/framework/xml/Base64.java,1483221.java,836,862,selected,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/mafro-sesam/sesam-auth/src/main/java/se/mafro/util/Base64.java,2215261.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/groom/utils/Base64.java,2365821.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/babbly/src/org/babbly/core/util/Base64.java,1402632.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/src/org/taak/util/Base64.java,183804.java,752,778,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/src/main/net/sf/jailer/util/Base64.java,593263.java,837,863,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/lrf-epub-tools/src/main/java/lrf/base64/Base64.java,244622.java,837,863,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/src/java/dovetaildb/util/Base64.java,2430560.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/dev-dir-struct/jssh/src/IharderSourceforgeNet/Base64.java,1802351.java,838,864,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/src/com/patientis/business/security/Base64.java,304936.java,835,861,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/android/src/com/sugree/jibjib/util/Base64.java,707943.java,837,863,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/src/main/java/br/com/radiceti/falke/util/Base64.java,1496807.java,848,874,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/cryptographicservice/internal/commons/Base64.java,2510322.java,754,780,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/trunk/workspace-mozswing/base64/src/net/sourceforge/iharder/Base64.java,1876215.java,753,779,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,a/src/org/dbreplicator/repconsole/Base64.java,2640664.java,753,779,selected,2,1.0
/eu.more.components/eu.more.cryptographicservice/tags/1.0.0/src/eu/more/internal/commons/Base64.java,927691.java,790,816,selected,/Steamer/src/com/programiraj/util/Base64.java,2229382.java,838,864,selected,2,1.0
